Rf_i;Rf_j;Lbl_p;Lbl_q;Wordnet wup equivalence indicator;Equivalence estimate
Rf07;Rf05;Condition;Communication;0,363636364;Low
Rf07;Rf09;Condition;SoS;0,363636364;Low
Rf07;Rf09;Condition;Constellation;0,307692308;Low
Rf07;Rf09;Condition;CS;0,307692308;Low
Rf07;Rf12;Condition;Executor;0,181818182;Low
Rf07;Rf12;Condition;Emergent;0,25;Low
Rf07;Rf12;Condition;Connectivity;0,6;Moderate
Rf07;Rf12;Condition;Cooperation;0,363636364;Low
Rf07;Rf11;Condition;Role;0,285714286;Low
Rf07;Rf11;Condition;Metric;0,363636364;Low
Rf07;Rf11;Condition;Entity;0,333333333;Low
Rf07;Rf03;Condition;Payload;0,285714286;Low
Rf07;Rf03;Condition;Software;0,307692308;Low
Rf07;Rf08;Condition;Activity;0,363636364;Low
Rf07;Rf13;CS;Resource;0,428571429;Low
Rf07;Rf05;CS;Environment;0,285714286;Low
Rf07;Rf05;CS;Actor;0,285714286;Low
Rf07;Rf05;CS;Communication;0,285714286;Low
Rf07;Rf09;CS;SoS;0,285714286;Low
Rf07;Rf09;CS;Constellation;0,25;Low
Rf07;Rf12;CS;Executor;0,307692308;Low
Rf07;Rf12;CS;Emergent;0,2;Low
Rf07;Rf12;CS;Connectivity;0,307692308;Low
Rf07;Rf12;CS;Cooperation;0,285714286;Low
Rf07;Rf11;CS;Role;0,235294118;Low
Rf07;Rf11;CS;Metric;0,428571429;Low
Rf07;Rf11;CS;Entity;0,25;Low
Rf07;Rf03;CS;Payload;0,470588235;Low
Rf07;Rf03;CS;Software;0,25;Low
Rf07;Rf08;CS;Activity;0,285714286;Low
Rf07;Rf13;Emergent;Resource;0,222222222;Low
Rf07;Rf05;Emergent;Environment;0,222222222;Low
Rf07;Rf05;Emergent;Actor;0,181818182;Low
Rf07;Rf05;Emergent;Communication;0,222222222;Low
Rf07;Rf09;Emergent;SoS;0,222222222;Low
Rf07;Rf09;Emergent;Constellation;0,181818182;Low
Rf07;Rf12;Emergent;Executor;0,2;Low
Rf07;Rf12;Emergent;Connectivity;0,25;Low
Rf07;Rf12;Emergent;Cooperation;0,222222222;Low
Rf07;Rf11;Emergent;Role;0,166666667;Low
Rf07;Rf11;Emergent;Metric;0,222222222;Low
Rf07;Rf11;Emergent;Entity;0,5;Moderate
Rf07;Rf03;Emergent;Payload;0,181818182;Low
Rf07;Rf03;Emergent;Software;0,181818182;Low
Rf07;Rf08;Emergent;Activity;0,222222222;Low
Rf13;Rf05;Resource;Environment;0,333333333;Low
Rf13;Rf05;Resource;Actor;0,153846154;Low
Rf13;Rf05;Resource;Communication;0,333333333;Low
Rf13;Rf09;Resource;SoS;0,333333333;Low
Rf13;Rf09;Resource;Constellation;0,285714286;Low
Rf13;Rf12;Resource;Executor;0,166666667;Low
Rf13;Rf12;Resource;Connectivity;0,363636364;Low
Rf13;Rf12;Resource;Cooperation;0,333333333;Low
Rf13;Rf11;Resource;Role;0,266666667;Low
Rf13;Rf11;Resource;Metric;0,5;Moderate
Rf13;Rf11;Resource;Entity;0,285714286;Low
Rf13;Rf03;Resource;Payload;0,4;Low
Rf13;Rf03;Resource;Software;0,285714286;Low
Rf13;Rf08;Resource;Activity;0,333333333;Low
Rf05;Rf09;Environment;SoS;0,333333333;Low
Rf05;Rf09;Environment;Constellation;0,285714286;Low
Rf05;Rf12;Environment;Executor;0,166666667;Low
Rf05;Rf12;Environment;Connectivity;0,545454545;Moderate
Rf05;Rf12;Environment;Cooperation;0,333333333;Low
Rf05;Rf11;Environment;Role;0,266666667;Low
Rf05;Rf11;Environment;Actor;0,153846154;Low
Rf05;Rf11;Environment;Metric;0,333333333;Low
Rf05;Rf11;Environment;Entity;0,285714286;Low
Rf05;Rf03;Environment;Payload;0,266666667;Low
